name,x,y
Brazil,87.0,135.0
Peru,-228.0,164.0
Ecuador,-268.0,280.0
Colombia,-202.0,356.0
Venezuela,-97.0,417.0
Guyana,11.0,391.0
Suriname,56.0,367.0
Bolivia,-85.0,69.0
Paraguay,8.0,-23.0
Uruguay,37.0,-167.0
Argentina,-88.0,-160.0
Chile,-141.0,-142.0
